code,name_th,name_en,latitude,longitude,district_id,zip_code
100101,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,13.751,100.492,1001,10200
100102,วังบูรพาภิรมย์,Wang Burapha Phirom,13.744,100.499,1001,10200
100103,วัดราชบพิธ,Wat Ratchabophit,13.750,100.499,1001,10200
100104,สำราญราษฎร์,Samran Rat,13.751,100.503,1001,10200
100105,ศาลเจ้าพ่อเสือ,San Chao Pho Suea,13.754,100.497,1001,10200
100106,เสาชิงช้า,Sao Chingcha,13.753,100.500,1001,10200
100107,บวรนิเวศ,Bowon Niwet,13.757,100.501,1001,10200
100108,ตลาดยอด,Talat Yot,13.760,100.498,1001,10200
100109,ชนะสงคราม,Chana Songkhram,13.762,100.495,1001,10200
100110,บ้านพานถม,Ban Phan Thom,13.762,100.503,1001,10200
100111,บางขุนพรหม,Bang Khun Phrom,13.765,100.505,1001,10200
100112,วัดสามพระยา,Wat Sam Phraya,13.768,100.499,1001,10200
100201,ดุสิต,Dusit,13.772,100.513,1002,10300
100202,วชิรพยาบาล,Wachiraphayaban,13.778,100.505,1002,10300
100203,สวนจิตรลดา,Suan Chit Lada,13.767,100.520,1002,10300
100204,สี่แยกมหานาค,Si Yaek Maha Nak,13.758,100.517,1002,10300
100206,ถนนนครไชยศรี,Thanon Nakhon Chai Si,13.789,100.522,1002,10300
100301,กระทุ่มราย,Krathum Rai,13.823,100.897,1003,10530
100302,หนองจอก,Nong Chok,13.869,100.885,1003,10530
100303,คลองสิบ,Khlong Sip,13.914,100.820,1003,10530
100304,คลองสิบสอง,Khlong Sip Song,13.914,100.880,1003,10530
100305,โคกแฝด,Khok Faet,13.840,100.836,1003,10530
100306,คู้ฝั่งเหนือ,Khu Fang Nuea,13.872,100.810,1003,10530
100307,ลำผักชี,Lam Phak Chi,13.797,100.844,1003,10530
100308,ลำต้อยติ่ง,Lam Toiting,13.781,100.877,1003,10530
100401,มหาพฤฒาราม,Maha Phruettharam,13.734,100.520,1004,10500
100402,สีลม,Si Lom,13.730,100.525,1004,10500
100403,สุริยวงศ์,Suriyawong,13.724,100.530,1004,10500
100404,บางรัก,Bang Rak,13.727,100.527,1004,10500
100405,สี่พระยา,Si Phraya,13.725,100.514,1004,10500
100502,อนุสาวรีย์,Anusawari,13.868,100.606,1005,10220
100508,ท่าแร้ง,Tha Raeng,13.866,100.650,1005,10220
100601,คลองจั่น,Khlong Chan,13.786,100.635,1006,10240
100608,หัวหมาก,Hua Mak,13.756,100.660,1006,10240
100701,รองเมือง,Rong Mueang,13.744,100.520,1007,10330
100702,วังใหม่,Wang Mai,13.742,100.526,1007,10330
100703,ปทุมวัน,Pathum Wan,13.740,100.535,1007,10330
100704,ลุมพินี,Lumphini,13.736,100.546,1007,10330
100801,ป้อมปราบ,Pom Prap,13.743,100.514,1008,10100
100802,วัดเทพศิรินทร์,Wat Thep Sirin,13.749,100.512,1008,10100
100803,คลองมหานาค,Khlong Maha Nak,13.753,100.513,1008,10100
